time,pressure_hPa,precipitation_mm,luminous_intensity_lux,hour_sin,hour_cos,day_of_year_sin,day_of_year_cos,is_active_alert,alert_severity,alert_id
2024-11-21 15:00:00,903.0,0.0,90.32,-0.7071067811865475,-0.7071067811865477,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 15:10:00,903.0066666666668,6.7056,188.62,-0.7372773368101239,-0.6755902076156604,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 15:20:00,903.096,0.0,335.276,-0.7660444431189779,-0.6427876096865395,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 15:30:00,903.194,0.0,335.092,-0.7933533402912349,-0.6087614290087209,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 15:40:00,903.307,0.0,334.908,-0.8191520442889916,-0.5735764363510464,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 15:50:00,903.446,0.0,334.54,-0.8433914458128855,-0.5372996083468242,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 16:00:00,903.448,0.0,334.724,-0.8660254037844384,-0.5000000000000004,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 16:10:00,903.5759999999998,0.0,335.27599999999995,-0.8870108331782218,-0.4617486132350336,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 16:20:00,903.6333333333332,0.8382,278.93666666666667,-0.90630778703665,-0.42261826174069916,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 16:30:00,904.6718867924527,0.0,0.0,-0.9238795325112865,-0.38268343236509034,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 16:40:00,905.7104402515722,0.0,0.0,-0.9396926207859082,-0.3420201433256694,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 16:50:00,906.7489937106917,0.0,0.0,-0.9537169507482267,-0.3007057995042738,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 17:00:00,907.7875471698112,0.0,0.0,-0.9659258262890683,-0.25881904510252063,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 17:10:00,908.8261006289307,0.0,0.0,-0.9762960071199334,-0.21643961393810282,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 17:20:00,909.8646540880502,0.0,0.0,-0.984807753012208,-0.17364817766693033,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 17:30:00,910.9032075471697,0.0,0.0,-0.9914448613738104,-0.13052619222005163,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 17:40:00,911.9417610062892,0.0,0.0,-0.9961946980917455,-0.08715574274765825,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 17:50:00,912.9803144654087,0.0,0.0,-0.9990482215818578,-0.04361938736533613,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 18:00:00,914.0188679245282,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 18:10:00,915.0574213836477,0.0,0.0,-0.9990482215818578,0.043619387365335764,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 18:20:00,916.0959748427672,0.0,0.0,-0.9961946980917455,0.08715574274765789,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 18:30:00,917.1345283018867,0.0,0.0,-0.9914448613738105,0.13052619222005127,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 18:40:00,918.1730817610062,0.0,0.0,-0.9848077530122081,0.17364817766692997,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 18:50:00,919.2116352201257,0.0,0.0,-0.9762960071199335,0.21643961393810246,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 19:00:00,920.2501886792452,0.0,0.0,-0.9659258262890684,0.2588190451025203,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 19:10:00,921.2887421383647,0.0,0.0,-0.9537169507482268,0.30070579950427345,-0.6339784927628872,0.7733506777097294,False,,
2024-11-21 19:20:00,922.3272955974842,0.0,0.0,-0.9396926207859083,0.342020143325669,-0.6339784927628872,0.7733506777097294,False,,
