time,pressure_hPa,precipitation_mm,luminous_intensity_lux,hour_sin,hour_cos,day_of_year_sin,day_of_year_cos,is_active_alert,alert_severity,alert_id
2025-11-19 13:10:00,1018.5566666666668,0.8382,11540.5,-0.30070579950427306,-0.9537169507482269,-0.661634618242279,0.749826401204568,False,,
2025-11-19 13:20:00,1018.37,0.0,13549.7,-0.34202014332566866,-0.9396926207859084,-0.661634618242279,0.749826401204568,False,,
2025-11-19 13:30:00,1018.33,0.0,13874.4,-0.38268343236508967,-0.9238795325112868,-0.661634618242279,0.749826401204568,False,,
2025-11-19 13:40:00,1018.21,0.0,13947.5,-0.4226182617406993,-0.90630778703665,-0.661634618242279,0.749826401204568,False,,
2025-11-19 13:50:00,1018.16,0.0,13588.4,-0.46174861323503374,-0.8870108331782218,-0.661634618242279,0.749826401204568,False,,
2025-11-19 14:00:00,1018.09,0.0,12592.7,-0.5000000000000001,-0.8660254037844386,-0.661634618242279,0.749826401204568,False,,
2025-11-19 14:10:00,1018.02,0.0,12272.3,-0.5372996083468239,-0.8433914458128856,-0.661634618242279,0.749826401204568,False,,
2025-11-19 14:20:00,1017.9,0.0,12390.6,-0.5735764363510458,-0.819152044288992,-0.661634618242279,0.749826401204568,False,,
2025-11-19 14:30:00,1017.9,0.0,12259.4,-0.6087614290087203,-0.7933533402912354,-0.661634618242279,0.749826401204568,False,,
2025-11-19 14:40:00,1017.96,0.0,12091.7,-0.6427876096865393,-0.766044443118978,-0.661634618242279,0.749826401204568,False,,
2025-11-19 14:50:00,1017.89,0.0,3636.3,-0.6755902076156601,-0.7372773368101241,-0.661634618242279,0.749826401204568,False,,
2025-11-19 15:00:00,1017.76,0.0,3455.7,-0.7071067811865475,-0.7071067811865477,-0.661634618242279,0.749826401204568,False,,
2025-11-19 15:10:00,1017.71,0.0,4522.3,-0.7372773368101239,-0.6755902076156604,-0.661634618242279,0.749826401204568,False,,
2025-11-19 15:20:00,1017.68,0.0,2120.3,-0.7660444431189779,-0.6427876096865395,-0.661634618242279,0.749826401204568,False,,
2025-11-19 15:30:00,1017.75,0.0,2068.7,-0.7933533402912349,-0.6087614290087209,-0.661634618242279,0.749826401204568,False,,
